NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 6031
MIN_PRIZE : 1989
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 456 757
2 908 645
3 199 715
4 221 17
5 778 143
6 805 19
7 15 824
8 96 597
9 744 309
10 534 959
11 924 355
12 938 992
13 280 485
14 240 360
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 584 0.87
3 285 0.51
4 223 0.91
5 396 0.80
6 357 0.42
7 377 0.44
8 531 0.36
9 753 0.46
10 304 0.40
11 460 0.55
12 429 0.56
13 757 0.59
14 575 0.39
