NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 6637
MIN_PRIZE : 2980
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 338 176
2 74 528
3 995 922
4 942 438
5 841 843
6 403 139
7 1 658
8 296 844
9 692 373
10 120 691
11 536 255
12 635 262
13 463 854
14 503 138
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 353 0.83
3 444 0.84
4 429 0.54
5 360 0.90
6 670 0.61
7 480 0.31
8 514 0.81
9 687 0.94
10 544 0.74
11 629 0.82
12 455 0.66
13 366 0.77
14 706 0.89
