NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 6925
MIN_PRIZE : 2746
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 175 196
2 537 502
3 615 348
4 584 345
5 904 167
6 391 940
7 250 6
8 325 824
9 112 763
10 312 201
11 494 137
12 851 944
13 374 927
14 764 583
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 779 0.81
3 385 0.48
4 566 0.49
5 268 0.86
6 712 0.77
7 644 0.54
8 352 0.32
9 389 0.90
10 662 0.94
11 683 0.83
12 457 0.37
13 549 0.56
14 479 0.49
