NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 5598
MIN_PRIZE : 2452
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 906 713
2 227 980
3 848 318
4 333 697
5 748 622
6 130 204
7 637 410
8 626 939
9 644 485
10 127 322
11 636 284
12 306 538
13 326 234
14 341 907
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 565 0.56
3 481 0.67
4 226 0.64
5 524 0.82
6 231 0.81
7 727 0.59
8 397 0.62
9 262 0.86
10 519 0.61
11 755 0.97
12 319 0.80
13 263 0.77
14 329 0.86
