NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 7643
MIN_PRIZE : 2754
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 37 235
2 908 72
3 583 749
4 178 276
5 468 907
6 925 398
7 983 753
8 86 141
9 829 534
10 316 209
11 627 431
12 387 454
13 964 792
14 26 820
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 344 0.43
3 708 0.95
4 454 0.78
5 452 0.46
6 762 0.59
7 703 0.44
8 593 0.52
9 513 0.91
10 464 0.33
11 656 0.72
12 761 0.44
13 697 0.78
14 536 0.32
