NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 7252
MIN_PRIZE : 2666
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 921 703
2 80 91
3 332 673
4 621 604
5 637 900
6 842 37
7 81 91
8 579 326
9 125 79
10 89 363
11 812 245
12 335 960
13 735 133
14 131 904
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 537 0.81
3 783 0.46
4 616 0.90
5 746 0.66
6 701 0.42
7 608 0.98
8 570 0.32
9 223 0.43
10 338 0.36
11 342 0.64
12 696 0.73
13 427 0.65
14 665 0.47
