NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 5331
MIN_PRIZE : 2296
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 867 206
2 701 998
3 8 740
4 720 519
5 437 999
6 205 715
7 980 86
8 649 362
9 897 210
10 5 826
11 691 539
12 979 147
13 135 868
14 190 779
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 318 0.99
3 611 0.66
4 404 0.87
5 280 0.61
6 265 0.38
7 346 0.91
8 241 0.72
9 303 0.37
10 310 0.97
11 524 0.32
12 474 0.89
13 564 0.70
14 691 0.87
