NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 4925
MIN_PRIZE : 1725
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 451 340
2 361 133
3 703 48
4 115 458
5 143 349
6 270 102
7 563 964
8 322 870
9 494 81
10 575 598
11 533 712
12 394 832
13 991 548
14 956 614
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 336 0.46
3 285 0.58
4 469 0.40
5 554 0.80
6 549 0.55
7 370 0.35
8 209 0.51
9 676 0.58
10 231 0.77
11 228 0.49
12 202 0.52
13 323 0.77
14 493 0.72
