NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 6996
MIN_PRIZE : 2961
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 874 664
2 249 643
3 659 714
4 660 940
5 538 337
6 258 959
7 858 581
8 507 830
9 545 379
10 20 862
11 718 500
12 0 704
13 677 184
14 545 113
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 456 0.93
3 319 0.61
4 623 0.75
5 674 0.64
6 516 0.69
7 613 0.79
8 719 0.62
9 535 0.51
10 761 0.80
11 740 0.77
12 474 0.56
13 365 0.80
14 201 0.58
