NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 6155
MIN_PRIZE : 2186
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 168 527
2 493 584
3 75 360
4 607 587
5 730 404
6 679 195
7 875 51
8 545 570
9 88 708
10 211 121
11 564 238
12 319 207
13 942 648
14 271 745
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 734 0.60
3 463 0.41
4 247 0.64
5 324 0.67
6 302 0.71
7 559 0.90
8 455 0.36
9 502 0.50
10 231 0.39
11 250 0.37
12 761 0.42
13 634 0.75
14 693 0.76
