NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 6752
MIN_PRIZE : 2929
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 843 667
2 390 253
3 963 844
4 948 901
5 630 74
6 204 269
7 958 100
8 119 447
9 946 208
10 585 685
11 110 539
12 225 824
13 491 300
14 836 693
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 441 0.67
3 632 0.32
4 673 0.81
5 584 0.72
6 282 0.94
7 619 0.69
8 552 0.97
9 334 0.86
10 614 0.52
11 535 0.40
12 680 0.91
13 403 0.99
14 403 0.88
