NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 6231
MIN_PRIZE : 2355
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 265 125
2 996 527
3 156 985
4 8 73
5 502 420
6 239 395
7 122 574
8 974 689
9 13 755
10 860 342
11 543 825
12 77 406
13 216 393
14 630 71
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 520 0.82
3 696 0.44
4 456 0.36
5 571 0.87
6 254 0.87
7 745 0.91
8 254 0.39
9 609 0.56
10 289 0.37
11 483 0.34
12 595 0.53
13 215 0.51
14 544 0.90
