NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 6074
MIN_PRIZE : 2598
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 122 174
2 439 709
3 818 393
4 109 606
5 946 44
6 564 387
7 149 713
8 56 706
9 648 561
10 416 680
11 161 800
12 370 371
13 562 145
14 73 187
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 560 0.73
3 258 0.98
4 513 0.74
5 494 0.90
6 200 0.57
7 622 0.57
8 374 0.87
9 522 0.85
10 443 0.61
11 693 0.91
12 295 0.96
13 440 0.33
14 660 0.43
