NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 5491
MIN_PRIZE : 2178
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 619 344
2 268 406
3 746 668
4 877 666
5 491 544
6 650 512
7 549 632
8 231 579
9 379 248
10 27 218
11 104 703
12 915 577
13 337 357
14 277 525
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 527 0.31
3 408 0.66
4 225 0.68
5 460 0.47
6 670 0.77
7 301 0.54
8 524 0.98
9 359 0.77
10 457 0.80
11 245 0.32
12 257 0.81
13 535 0.78
14 523 0.55
