NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 27477
MIN_PRIZE : 10675
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 518 562
2 949 416
3 595 886
4 853 779
5 217 438
6 600 778
7 252 298
8 376 530
9 787 959
10 891 333
11 764 564
12 60 523
13 170 459
14 832 443
15 723 509
16 823 583
17 814 501
18 920 433
19 732 393
20 295 266
21 529 447
22 294 333
23 563 225
24 625 483
25 720 689
26 105 124
27 722 596
28 717 945
29 340 369
30 303 646
31 164 786
32 835 684
33 759 168
34 480 885
35 624 865
36 213 865
37 35 69
38 432 323
39 889 435
40 735 81
41 483 645
42 319 859
43 916 446
44 421 222
45 153 576
46 9 923
47 422 228
48 248 356
49 898 815
50 826 939
51 552 660
52 306 203
53 613 597
54 807 272
55 651 159
56 783 376
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 278 0.55
3 280 0.53
4 449 0.68
5 272 0.43
6 493 0.92
7 215 0.40
8 287 0.74
9 293 0.67
10 791 0.92
11 511 0.96
12 379 0.43
13 576 0.36
14 359 0.77
15 442 0.63
16 758 0.61
17 606 0.74
18 456 0.63
19 619 0.67
20 639 0.33
21 283 0.32
22 396 0.77
23 626 0.34
24 712 0.95
25 540 0.68
26 567 0.70
27 710 0.76
28 698 0.34
29 750 0.93
30 220 0.78
31 659 0.43
32 786 0.52
33 471 0.60
34 732 0.81
35 317 0.51
36 354 0.90
37 650 0.43
38 361 0.81
39 682 1.00
40 697 0.62
41 214 0.54
42 447 0.69
43 264 0.52
44 450 0.39
45 706 0.50
46 233 0.56
47 675 0.50
48 757 0.79
49 499 0.39
50 428 0.48
51 371 0.85
52 244 0.86
53 486 0.99
54 654 0.83
55 716 0.44
56 419 0.72
