NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 26819
MIN_PRIZE : 10642
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 966 410
2 964 526
3 538 352
4 749 843
5 858 935
6 628 491
7 766 592
8 720 564
9 344 84
10 345 31
11 254 189
12 172 381
13 422 561
14 517 976
15 469 928
16 841 751
17 717 638
18 188 406
19 556 278
20 571 572
21 804 62
22 997 401
23 34 729
24 196 368
25 123 809
26 188 451
27 1000 29
28 886 427
29 561 878
30 952 112
31 633 83
32 138 262
33 492 313
34 301 734
35 829 933
36 631 244
37 901 484
38 454 71
39 68 879
40 437 686
41 796 756
42 76 831
43 440 904
44 680 211
45 108 248
46 874 601
47 992 727
48 433 397
49 989 946
50 780 989
51 504 14
52 936 758
53 458 274
54 339 775
55 666 883
56 656 562
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 407 0.81
3 501 0.98
4 241 0.82
5 290 0.95
6 751 0.46
7 549 0.58
8 607 0.60
9 621 0.63
10 502 0.68
11 638 1.00
12 211 0.55
13 797 0.87
14 306 0.79
15 577 0.42
16 422 0.86
17 751 0.54
18 318 0.53
19 488 0.56
20 799 0.33
21 227 0.84
22 669 0.79
23 771 0.74
24 506 0.71
25 357 0.72
26 443 0.95
27 435 0.41
28 250 0.85
29 703 0.86
30 354 0.48
31 286 0.39
32 556 0.46
33 699 0.37
34 282 0.46
35 789 0.74
36 640 0.44
37 563 0.45
38 649 0.87
39 359 0.40
40 313 0.85
41 205 0.93
42 215 0.78
43 714 0.88
44 552 0.57
45 657 0.59
46 443 0.88
47 353 1.00
48 764 0.59
49 234 0.30
50 516 0.39
51 595 0.80
52 534 0.54
53 486 0.91
54 409 0.34
55 241 0.81
56 274 0.87
