NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 26803
MIN_PRIZE : 10542
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 65 764
2 245 269
3 514 182
4 199 70
5 589 103
6 703 736
7 120 571
8 954 751
9 159 744
10 211 703
11 958 892
12 641 893
13 41 918
14 618 993
15 186 855
16 849 849
17 225 977
18 580 35
19 927 618
20 928 865
21 548 951
22 908 52
23 141 686
24 196 751
25 872 669
26 354 635
27 298 772
28 41 156
29 224 421
30 563 766
31 231 555
32 955 287
33 136 140
34 186 633
35 835 404
36 441 948
37 881 870
38 200 159
39 290 800
40 159 100
41 887 248
42 346 248
43 383 528
44 853 686
45 107 484
46 220 93
47 839 814
48 700 105
49 398 310
50 715 643
51 491 170
52 512 230
53 143 562
54 793 164
55 845 556
56 201 150
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 738 0.95
3 554 0.73
4 335 0.65
5 404 0.93
6 315 0.95
7 777 0.47
8 750 0.91
9 485 1.00
10 253 0.92
11 260 0.34
12 658 0.67
13 494 0.88
14 421 0.30
15 311 0.37
16 329 0.80
17 604 0.78
18 771 0.33
19 260 0.96
20 362 0.37
21 782 0.66
22 441 0.74
23 249 0.88
24 489 0.70
25 612 0.31
26 623 0.35
27 371 0.77
28 765 0.52
29 507 0.37
30 525 0.54
31 313 0.46
32 553 0.94
33 537 0.93
34 756 0.91
35 507 0.67
36 551 0.62
37 344 0.57
38 624 0.57
39 797 0.51
40 327 0.39
41 449 0.53
42 352 0.66
43 607 0.48
44 204 0.90
45 598 0.87
46 664 0.71
47 740 0.67
48 212 0.41
49 273 0.52
50 310 0.58
51 752 0.67
52 365 0.73
53 298 0.44
54 646 0.85
55 201 0.57
56 378 0.63
