NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 27553
MIN_PRIZE : 10568
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 117 705
2 609 118
3 479 886
4 727 803
5 248 922
6 884 181
7 674 526
8 887 951
9 483 872
10 132 587
11 107 824
12 29 759
13 899 696
14 523 807
15 377 354
16 18 793
17 930 43
18 130 653
19 62 75
20 716 261
21 103 657
22 935 377
23 663 645
24 918 112
25 258 624
26 68 402
27 393 861
28 579 721
29 568 954
30 269 138
31 597 808
32 138 656
33 233 338
34 969 25
35 213 834
36 953 502
37 241 868
38 451 46
39 870 286
40 898 412
41 953 749
42 10 601
43 740 372
44 956 69
45 920 504
46 528 124
47 796 184
48 705 494
49 468 99
50 614 937
51 439 578
52 688 149
53 639 135
54 515 756
55 385 459
56 407 908
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 703 0.58
3 688 0.63
4 510 0.66
5 618 0.78
6 201 0.54
7 783 0.77
8 415 0.86
9 578 0.52
10 524 0.59
11 361 0.40
12 440 0.89
13 210 0.62
14 391 0.88
15 243 0.80
16 318 0.85
17 473 0.82
18 333 0.79
19 603 0.88
20 559 0.47
21 747 0.46
22 332 0.86
23 413 0.38
24 458 0.92
25 785 0.30
26 558 0.42
27 473 0.97
28 353 0.42
29 565 0.74
30 686 0.60
31 621 0.34
32 595 0.38
33 570 0.46
34 613 0.34
35 780 0.78
36 643 0.82
37 534 0.52
38 530 0.67
39 271 0.60
40 218 0.68
41 509 0.44
42 596 0.88
43 772 0.94
44 244 0.69
45 522 0.68
46 262 0.45
47 357 0.64
48 416 0.94
49 557 0.76
50 679 0.69
51 754 0.30
52 529 0.75
53 514 0.38
54 283 0.76
55 641 0.69
56 222 0.62
