NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 25911
MIN_PRIZE : 10851
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 734 125
2 496 673
3 689 826
4 144 864
5 290 259
6 104 998
7 226 291
8 183 534
9 387 174
10 883 230
11 331 143
12 84 862
13 63 824
14 258 815
15 301 946
16 947 406
17 570 936
18 594 649
19 846 128
20 647 809
21 626 327
22 402 32
23 454 558
24 698 402
25 160 564
26 886 732
27 950 455
28 812 475
29 156 825
30 563 761
31 835 848
32 270 427
33 351 710
34 51 979
35 767 320
36 840 788
37 407 967
38 562 823
39 201 544
40 799 966
41 602 613
42 402 92
43 749 767
44 667 223
45 723 473
46 773 353
47 116 3
48 108 47
49 138 605
50 966 812
51 791 308
52 341 639
53 764 550
54 323 305
55 549 319
56 621 335
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 271 0.74
3 495 0.84
4 420 0.79
5 613 0.95
6 290 0.99
7 734 0.59
8 603 0.82
9 429 0.84
10 723 0.50
11 341 0.44
12 495 0.59
13 262 0.65
14 334 0.74
15 705 0.71
16 359 0.30
17 439 0.67
18 254 0.58
19 747 0.53
20 511 0.67
21 770 0.74
22 461 0.47
23 495 0.60
24 471 0.71
25 510 0.68
26 440 0.63
27 205 0.72
28 765 0.87
29 351 0.69
30 226 0.67
31 269 0.31
32 443 0.39
33 332 0.93
34 590 0.97
35 389 0.34
36 736 0.88
37 439 0.51
38 260 0.59
39 722 0.58
40 763 0.98
41 562 0.82
42 560 0.66
43 223 0.33
44 702 1.00
45 677 0.90
46 732 0.83
47 729 0.51
48 338 0.82
49 274 0.53
50 332 0.83
51 209 0.41
52 380 0.53
53 258 0.64
54 475 0.89
55 496 0.74
56 302 0.40
