NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 26338
MIN_PRIZE : 10548
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 280 573
2 226 996
3 161 153
4 959 755
5 205 240
6 502 90
7 160 421
8 803 998
9 705 864
10 821 92
11 594 851
12 214 378
13 781 735
14 938 893
15 725 563
16 316 309
17 691 43
18 160 50
19 678 61
20 933 634
21 41 523
22 8 870
23 617 174
24 955 227
25 354 830
26 81 760
27 103 206
28 811 728
29 630 668
30 907 937
31 691 406
32 661 298
33 329 10
34 764 94
35 773 924
36 156 384
37 613 677
38 719 175
39 962 520
40 235 626
41 607 382
42 144 927
43 137 457
44 704 659
45 277 808
46 931 629
47 528 818
48 691 106
49 634 492
50 142 890
51 2 995
52 693 224
53 379 755
54 854 799
55 386 839
56 645 406
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 646 0.31
3 276 0.40
4 471 0.99
5 628 0.45
6 633 0.58
7 353 0.32
8 519 0.83
9 417 0.72
10 510 0.33
11 334 0.82
12 607 0.57
13 222 0.58
14 417 0.78
15 731 0.35
16 421 0.79
17 403 0.94
18 600 0.97
19 782 0.44
20 632 0.39
21 459 0.99
22 467 0.92
23 227 0.62
24 374 0.92
25 218 0.56
26 732 0.36
27 765 0.69
28 665 0.85
29 267 0.39
30 492 0.95
31 606 0.87
32 726 0.54
33 425 0.72
34 422 0.51
35 399 0.49
36 381 0.81
37 406 0.72
38 203 0.96
39 213 0.91
40 764 0.93
41 275 0.79
42 671 0.81
43 667 0.60
44 633 0.85
45 344 0.88
46 479 0.52
47 388 0.89
48 534 0.39
49 527 0.84
50 681 0.80
51 209 0.50
52 275 0.38
53 629 0.44
54 562 0.90
55 379 0.55
56 272 0.63
