NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 29476
MIN_PRIZE : 11008
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 262 582
2 870 862
3 203 784
4 526 375
5 153 29
6 201 656
7 510 670
8 751 18
9 328 683
10 230 430
11 116 615
12 973 343
13 855 365
14 128 945
15 857 467
16 146 979
17 209 949
18 663 456
19 354 332
20 267 396
21 571 349
22 89 603
23 293 541
24 461 609
25 103 935
26 214 752
27 283 74
28 947 487
29 668 344
30 329 779
31 9 771
32 423 910
33 192 658
34 260 922
35 308 598
36 525 897
37 44 585
38 432 143
39 739 629
40 110 902
41 174 262
42 222 990
43 237 990
44 461 72
45 73 297
46 974 430
47 747 347
48 642 278
49 207 117
50 765 793
51 220 866
52 8 348
53 143 94
54 991 718
55 739 969
56 970 424
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 708 0.32
3 404 0.97
4 417 0.31
5 351 0.88
6 754 0.45
7 267 0.47
8 459 0.55
9 755 0.58
10 673 0.64
11 567 0.54
12 677 0.51
13 683 0.42
14 554 0.50
15 215 0.76
16 623 0.44
17 334 0.49
18 611 0.72
19 317 0.70
20 687 0.79
21 604 0.50
22 432 0.67
23 692 0.85
24 342 1.00
25 623 0.74
26 574 0.74
27 486 0.63
28 725 0.91
29 550 0.67
30 603 0.87
31 444 0.34
32 798 1.00
33 424 0.99
34 409 0.34
35 708 0.49
36 576 0.92
37 270 0.30
38 628 0.41
39 699 0.85
40 647 0.54
41 675 0.92
42 240 0.75
43 378 0.49
44 315 0.78
45 670 0.51
46 237 0.65
47 783 0.60
48 697 0.70
49 783 0.61
50 668 0.47
51 787 0.42
52 271 0.31
53 624 0.35
54 536 0.32
55 284 0.98
56 238 0.84
