NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 31055
MIN_PRIZE : 13117
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 414 318
2 198 879
3 571 346
4 40 935
5 601 113
6 631 433
7 81 242
8 704 379
9 407 549
10 755 520
11 825 513
12 788 136
13 975 909
14 585 804
15 858 608
16 742 129
17 824 724
18 858 485
19 521 462
20 665 813
21 143 590
22 619 12
23 488 758
24 856 971
25 804 918
26 446 219
27 125 157
28 850 652
29 352 984
30 41 560
31 345 903
32 214 42
33 622 905
34 571 493
35 718 475
36 323 508
37 204 407
38 192 373
39 866 14
40 191 306
41 136 768
42 915 766
43 152 376
44 1000 692
45 326 55
46 588 363
47 35 241
48 267 270
49 925 891
50 864 154
51 103 343
52 41 700
53 538 146
54 413 28
55 817 996
56 619 365
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 268 0.97
3 635 0.88
4 621 0.71
5 413 0.61
6 337 0.41
7 536 0.90
8 392 0.60
9 754 0.47
10 291 0.75
11 749 0.98
12 288 0.66
13 432 0.78
14 626 0.87
15 306 0.94
16 558 0.41
17 752 0.61
18 689 0.68
19 298 0.43
20 559 0.86
21 263 0.40
22 750 0.34
23 743 0.71
24 565 0.71
25 418 0.70
26 494 0.86
27 511 0.48
28 468 0.64
29 571 0.98
30 529 0.87
31 585 0.56
32 663 0.50
33 685 0.73
34 783 0.64
35 795 0.80
36 674 0.73
37 488 0.56
38 769 0.88
39 271 0.72
40 647 0.58
41 524 0.51
42 616 0.58
43 676 0.87
44 702 0.76
45 508 0.79
46 539 0.71
47 791 0.78
48 729 0.74
49 748 0.78
50 699 0.50
51 486 0.97
52 268 0.52
53 701 0.51
54 692 0.93
55 574 0.77
56 626 0.79
