NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 28560
MIN_PRIZE : 11238
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 322 804
2 750 952
3 483 63
4 286 547
5 1 132
6 554 174
7 774 497
8 191 132
9 482 970
10 533 659
11 671 16
12 674 931
13 843 82
14 135 859
15 133 857
16 718 927
17 233 186
18 190 44
19 875 512
20 924 908
21 882 702
22 532 771
23 432 787
24 846 629
25 999 457
26 16 809
27 130 91
28 907 662
29 218 919
30 451 415
31 962 17
32 180 442
33 875 864
34 211 240
35 371 780
36 28 820
37 737 992
38 528 494
39 765 920
40 550 757
41 492 417
42 367 990
43 756 754
44 232 83
45 805 52
46 857 512
47 21 868
48 643 438
49 606 632
50 793 864
51 946 292
52 7 36
53 11 907
54 946 323
55 199 914
56 940 262
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 600 0.95
3 539 0.60
4 548 0.52
5 597 0.33
6 499 0.39
7 624 0.32
8 343 0.55
9 717 0.51
10 519 0.76
11 485 0.70
12 375 0.74
13 374 0.75
14 355 0.69
15 764 0.33
16 413 0.97
17 685 0.71
18 316 0.62
19 343 0.86
20 679 0.92
21 568 0.76
22 257 0.31
23 326 0.97
24 634 0.79
25 358 0.65
26 504 0.32
27 599 1.00
28 740 0.67
29 738 0.39
30 492 0.60
31 640 0.86
32 503 0.98
33 412 0.45
34 372 0.56
35 530 0.47
36 228 0.79
37 514 0.67
38 394 0.47
39 262 0.92
40 335 0.54
41 756 0.37
42 468 0.70
43 773 0.84
44 629 0.88
45 466 0.40
46 666 0.35
47 625 0.40
48 757 0.57
49 553 0.80
50 408 0.96
51 275 0.91
52 603 0.92
53 730 0.85
54 613 0.77
55 330 0.34
56 727 0.86
