NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 26242
MIN_PRIZE : 9968
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 620 901
2 220 914
3 344 425
4 655 229
5 692 888
6 741 837
7 1 158
8 354 275
9 809 466
10 26 129
11 783 10
12 220 850
13 310 805
14 984 809
15 631 479
16 803 510
17 24 163
18 452 514
19 398 396
20 370 207
21 188 586
22 931 689
23 857 155
24 822 739
25 576 177
26 973 467
27 435 66
28 575 996
29 403 1000
30 64 105
31 589 338
32 655 198
33 699 16
34 289 89
35 970 258
36 22 492
37 587 124
38 864 686
39 929 686
40 399 508
41 371 225
42 901 277
43 158 653
44 21 417
45 443 156
46 231 98
47 158 147
48 841 249
49 544 420
50 85 520
51 667 226
52 284 330
53 71 957
54 909 818
55 24 140
56 241 46
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 464 0.74
3 594 0.72
4 590 0.84
5 398 0.74
6 612 0.72
7 353 0.61
8 548 0.67
9 584 0.51
10 410 0.98
11 695 0.69
12 606 0.58
13 212 0.61
14 246 0.93
15 654 0.32
16 212 0.93
17 538 0.89
18 240 0.45
19 210 0.54
20 206 0.42
21 639 0.47
22 257 0.98
23 703 0.85
24 664 0.79
25 539 0.63
26 300 0.34
27 402 0.44
28 389 0.95
29 547 0.56
30 414 0.43
31 248 0.75
32 437 0.51
33 490 0.65
34 243 0.62
35 605 0.78
36 729 0.65
37 684 0.99
38 744 0.60
39 291 0.67
40 630 0.36
41 412 0.74
42 784 0.48
43 527 0.44
44 342 0.40
45 227 0.68
46 271 0.58
47 493 0.51
48 398 0.83
49 441 0.57
50 704 0.44
51 720 0.88
52 391 0.65
53 621 0.45
54 751 0.36
55 528 0.67
56 305 0.40
