NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 29191
MIN_PRIZE : 11769
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 299 228
2 864 1
3 359 699
4 67 537
5 680 774
6 455 94
7 124 107
8 36 879
9 49 522
10 626 639
11 350 119
12 946 883
13 35 349
14 1000 754
15 549 906
16 797 55
17 359 749
18 490 7
19 974 511
20 980 213
21 767 824
22 752 541
23 637 271
24 417 774
25 726 424
26 746 229
27 896 149
28 254 937
29 242 458
30 24 964
31 498 741
32 556 458
33 31 301
34 33 976
35 540 124
36 475 900
37 322 472
38 281 716
39 713 507
40 74 490
41 738 802
42 201 796
43 539 439
44 45 717
45 367 743
46 399 989
47 600 678
48 403 871
49 220 174
50 257 677
51 185 451
52 657 562
53 154 311
54 107 344
55 99 293
56 621 767
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 666 0.83
3 510 0.91
4 699 0.53
5 554 0.94
6 554 0.53
7 620 0.74
8 228 0.79
9 717 0.36
10 704 0.98
11 208 0.92
12 252 0.44
13 405 0.42
14 707 0.54
15 602 0.71
16 442 0.91
17 702 0.82
18 716 0.81
19 506 0.52
20 441 0.68
21 542 0.48
22 354 0.58
23 786 0.91
24 616 0.51
25 720 0.42
26 217 0.87
27 322 0.43
28 662 0.36
29 496 0.44
30 446 0.60
31 590 0.50
32 603 0.85
33 605 0.54
34 711 0.93
35 529 0.35
36 220 0.40
37 632 0.62
38 749 0.70
39 563 0.48
40 285 0.83
41 413 0.57
42 296 0.96
43 671 0.30
44 681 0.89
45 393 0.81
46 424 0.54
47 331 0.97
48 702 0.92
49 716 0.85
50 621 0.81
51 235 0.43
52 671 0.95
53 369 0.62
54 345 0.51
55 717 0.82
56 725 0.55
