NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 26106
MIN_PRIZE : 10052
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 789 466
2 968 164
3 191 502
4 701 662
5 802 547
6 276 397
7 304 281
8 471 788
9 435 699
10 105 830
11 763 810
12 801 481
13 487 699
14 885 313
15 347 69
16 669 684
17 687 962
18 98 891
19 915 27
20 678 820
21 125 184
22 904 7
23 638 721
24 660 101
25 880 961
26 357 485
27 834 998
28 152 438
29 341 51
30 714 440
31 54 582
32 399 85
33 983 656
34 65 995
35 941 719
36 187 7
37 77 881
38 886 746
39 651 268
40 145 999
41 151 813
42 108 461
43 669 903
44 846 927
45 581 594
46 305 56
47 186 859
48 464 377
49 178 904
50 527 7
51 414 230
52 142 564
53 265 111
54 941 829
55 361 72
56 680 164
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 262 0.71
3 212 0.54
4 562 0.62
5 229 0.35
6 303 0.46
7 695 0.83
8 264 0.47
9 690 0.62
10 480 0.75
11 619 0.66
12 361 0.84
13 551 0.64
14 568 0.34
15 610 0.61
16 717 0.44
17 626 0.69
18 236 0.60
19 505 0.46
20 570 0.96
21 376 0.91
22 689 0.42
23 322 0.33
24 315 0.69
25 748 0.92
26 220 0.60
27 673 0.56
28 555 0.39
29 730 0.42
30 267 0.35
31 327 0.61
32 416 0.74
33 564 0.35
34 490 0.56
35 365 0.35
36 395 0.81
37 281 0.71
38 351 0.38
39 423 0.73
40 241 0.61
41 340 0.78
42 749 0.92
43 737 0.94
44 783 0.71
45 699 0.98
46 227 0.54
47 552 0.72
48 270 0.75
49 257 0.60
50 684 0.58
51 631 0.78
52 799 0.50
53 555 0.42
54 237 0.54
55 406 0.98
56 372 0.82
