NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 27337
MIN_PRIZE : 9374
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 522 103
2 133 902
3 678 115
4 639 526
5 133 196
6 264 826
7 504 38
8 673 234
9 959 935
10 688 391
11 288 337
12 480 682
13 177 180
14 298 449
15 708 983
16 305 805
17 614 120
18 999 594
19 380 547
20 10 704
21 527 755
22 369 290
23 598 663
24 348 548
25 653 85
26 244 224
27 459 858
28 787 165
29 22 728
30 3 242
31 697 894
32 445 448
33 68 769
34 321 27
35 319 756
36 574 220
37 21 590
38 526 471
39 263 275
40 69 312
41 113 311
42 307 68
43 195 639
44 717 654
45 935 671
46 893 553
47 951 589
48 290 433
49 942 466
50 381 862
51 380 809
52 753 500
53 875 415
54 809 695
55 856 865
56 238 646
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 777 0.37
3 230 0.58
4 430 0.34
5 617 0.91
6 606 0.41
7 474 0.33
8 707 0.39
9 221 0.61
10 323 0.58
11 688 0.43
12 733 0.72
13 410 0.32
14 386 0.92
15 538 0.55
16 440 0.40
17 494 0.92
18 603 0.62
19 511 0.33
20 367 0.65
21 432 0.35
22 751 0.32
23 376 0.39
24 522 0.31
25 449 0.37
26 427 0.69
27 521 0.95
28 243 0.33
29 352 0.37
30 749 0.85
31 455 0.50
32 398 0.53
33 679 0.57
34 624 0.62
35 313 0.68
36 610 0.98
37 350 0.73
38 660 0.47
39 496 0.34
40 694 0.58
41 264 0.85
42 312 0.61
43 716 0.86
44 638 0.92
45 448 0.67
46 528 0.35
47 736 0.65
48 621 0.47
49 720 0.34
50 327 0.41
51 513 0.94
52 372 0.38
53 600 0.54
54 204 0.68
55 209 0.35
56 473 0.86
