NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 15792
MIN_PRIZE : 6299
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 256 755
2 590 242
3 79 903
4 992 128
5 409 28
6 622 772
7 898 43
8 104 679
9 39 197
10 351 141
11 795 734
12 380 101
13 507 195
14 753 947
15 196 100
16 708 222
17 535 330
18 192 37
19 3 491
20 217 965
21 536 26
22 455 847
23 666 696
24 704 220
25 153 729
26 342 365
27 22 454
28 274 388
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 245 0.42
3 666 0.99
4 408 0.55
5 582 0.66
6 631 0.90
7 494 0.55
8 498 0.44
9 214 0.40
10 606 0.42
11 743 0.65
12 276 0.70
13 754 0.72
14 789 0.50
15 786 0.93
16 540 0.97
17 784 0.92
18 735 0.74
19 468 0.47
20 355 0.75
21 302 0.57
22 767 0.56
23 556 0.77
24 750 0.67
25 705 0.58
26 640 0.98
27 734 0.36
28 764 0.36
