NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 13084
MIN_PRIZE : 4871
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 262 245
2 757 141
3 260 319
4 272 237
5 406 576
6 816 7
7 397 820
8 698 470
9 917 157
10 4 136
11 347 252
12 780 424
13 722 172
14 408 783
15 529 164
16 262 613
17 93 934
18 209 336
19 753 265
20 255 940
21 746 185
22 973 294
23 397 594
24 686 217
25 821 437
26 22 636
27 406 536
28 239 757
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 599 0.60
3 498 0.56
4 428 0.34
5 509 0.34
6 597 0.85
7 777 0.63
8 487 0.71
9 683 0.45
10 544 0.56
11 322 0.81
12 620 0.63
13 353 0.56
14 241 0.31
15 278 0.50
16 545 0.80
17 648 0.81
18 210 0.42
19 744 0.41
20 609 0.72
21 577 0.75
22 294 0.96
23 200 0.86
24 509 0.35
25 668 0.52
26 352 0.99
27 362 0.57
28 430 0.89
