NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 12760
MIN_PRIZE : 4902
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 775 73
2 787 347
3 789 279
4 173 90
5 10 660
6 123 372
7 566 768
8 947 552
9 6 295
10 925 478
11 469 897
12 717 95
13 325 181
14 117 656
15 990 797
16 219 35
17 875 556
18 434 368
19 513 994
20 386 728
21 829 732
22 200 67
23 185 768
24 54 95
25 418 936
26 804 375
27 747 842
28 575 88
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 398 0.93
3 724 0.51
4 270 0.55
5 528 0.73
6 685 0.54
7 565 0.91
8 415 0.59
9 342 0.82
10 615 0.33
11 568 0.46
12 224 0.54
13 300 0.98
14 342 0.97
15 798 0.79
16 652 0.78
17 262 0.36
18 384 0.84
19 559 0.46
20 727 0.68
21 260 0.40
22 555 0.69
23 247 0.74
24 446 0.93
25 466 0.49
26 307 0.98
27 500 0.33
28 621 0.30
