NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 12593
MIN_PRIZE : 4992
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 69 705
2 729 251
3 520 868
4 397 700
5 695 482
6 337 280
7 994 904
8 510 114
9 541 483
10 734 496
11 994 76
12 19 948
13 33 593
14 126 497
15 857 844
16 231 810
17 4 413
18 702 936
19 333 142
20 27 569
21 975 124
22 335 397
23 293 209
24 281 695
25 200 42
26 272 92
27 502 50
28 130 48
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 366 0.58
3 427 0.72
4 208 0.72
5 392 0.87
6 359 0.59
7 489 0.35
8 718 0.76
9 446 0.71
10 434 0.45
11 294 0.97
12 243 0.95
13 293 0.61
14 749 0.58
15 745 0.57
16 720 0.85
17 681 0.50
18 238 0.53
19 726 0.39
20 360 0.41
21 652 0.56
22 543 0.96
23 478 0.76
24 296 0.95
25 460 0.49
26 316 0.88
27 271 0.48
28 689 0.93
