NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 13997
MIN_PRIZE : 5898
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 704 629
2 790 73
3 548 176
4 303 201
5 275 28
6 350 212
7 20 778
8 607 628
9 983 918
10 665 263
11 838 375
12 892 316
13 984 350
14 820 107
15 752 578
16 245 297
17 394 690
18 818 657
19 337 639
20 430 121
21 809 600
22 516 843
23 765 283
24 102 429
25 327 147
26 454 307
27 617 730
28 469 825
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 428 0.37
3 629 0.51
4 471 0.92
5 743 0.98
6 254 0.36
7 298 0.74
8 217 0.45
9 770 0.53
10 273 0.48
11 346 0.94
12 518 0.75
13 673 0.77
14 729 0.96
15 200 0.94
16 600 0.36
17 342 0.41
18 664 0.41
19 531 0.66
20 569 0.86
21 720 0.83
22 540 0.98
23 397 1.00
24 667 0.85
25 676 0.87
26 544 0.54
27 614 0.54
28 584 0.61
