NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 12946
MIN_PRIZE : 4789
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 852 876
2 980 724
3 322 118
4 449 880
5 21 566
6 698 268
7 966 525
8 324 483
9 934 571
10 74 139
11 846 732
12 350 477
13 64 513
14 740 173
15 236 160
16 683 590
17 75 296
18 714 42
19 283 631
20 563 508
21 864 317
22 546 869
23 800 466
24 490 110
25 219 488
26 304 930
27 712 717
28 822 80
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 286 0.84
3 207 0.72
4 484 0.37
5 237 0.75
6 534 0.38
7 762 0.84
8 370 0.79
9 685 0.49
10 579 0.79
11 422 0.54
12 711 0.64
13 337 0.34
14 269 0.96
15 335 0.55
16 655 0.52
17 626 0.98
18 628 0.31
19 780 0.48
20 305 0.46
21 373 0.57
22 517 0.78
23 591 0.88
24 719 0.72
25 323 0.40
26 313 0.45
27 270 0.97
28 628 0.34
