NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 15049
MIN_PRIZE : 5723
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 62 176
2 473 454
3 678 494
4 674 149
5 224 361
6 680 112
7 694 137
8 118 31
9 945 444
10 859 468
11 692 191
12 729 632
13 389 683
14 623 939
15 637 911
16 652 92
17 222 746
18 440 326
19 724 668
20 578 456
21 7 488
22 47 758
23 95 271
24 645 611
25 875 8
26 917 501
27 50 58
28 261 260
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 531 0.93
3 791 0.54
4 501 0.72
5 656 0.34
6 647 0.45
7 799 0.39
8 545 0.68
9 467 0.60
10 435 0.48
11 394 0.95
12 644 0.67
13 647 0.75
14 303 0.83
15 200 0.79
16 611 0.93
17 627 0.73
18 789 0.52
19 719 0.61
20 672 0.44
21 650 0.77
22 230 0.34
23 621 0.96
24 600 0.35
25 204 0.39
26 737 0.78
27 687 0.50
28 342 0.94
