NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 14420
MIN_PRIZE : 5875
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 165 732
2 162 586
3 864 559
4 315 443
5 997 230
6 725 69
7 519 983
8 11 287
9 791 921
10 274 267
11 535 392
12 1 829
13 740 695
14 958 167
15 628 579
16 967 69
17 7 358
18 758 756
19 523 952
20 344 961
21 940 339
22 665 984
23 783 49
24 102 356
25 838 463
26 89 613
27 345 197
28 52 332
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 453 0.70
3 418 0.51
4 444 0.85
5 697 0.87
6 211 0.88
7 452 0.97
8 649 0.37
9 595 0.38
10 601 0.63
11 497 0.87
12 505 0.49
13 776 0.67
14 785 0.37
15 629 0.50
16 445 0.40
17 444 0.86
18 339 0.91
19 699 0.93
20 759 0.67
21 312 0.32
22 696 0.98
23 574 0.60
24 797 0.89
25 408 0.64
26 609 0.84
27 336 0.79
28 290 0.33
