NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 14430
MIN_PRIZE : 5300
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 612 939
2 232 474
3 684 167
4 191 766
5 51 123
6 997 520
7 497 586
8 564 590
9 376 176
10 247 116
11 194 641
12 52 546
13 39 872
14 458 753
15 262 373
16 405 410
17 985 546
18 136 935
19 427 746
20 971 356
21 546 885
22 967 204
23 595 847
24 163 9
25 851 485
26 575 304
27 64 295
28 140 918
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 521 0.35
3 504 0.63
4 334 0.84
5 461 0.37
6 715 0.82
7 658 0.58
8 760 0.85
9 437 0.48
10 726 0.34
11 295 0.80
12 799 0.57
13 511 0.78
14 719 0.35
15 627 0.73
16 597 0.36
17 509 0.66
18 751 0.55
19 530 0.80
20 676 0.93
21 324 0.88
22 297 0.37
23 234 0.68
24 505 0.79
25 621 0.68
26 543 0.38
27 403 0.59
28 373 0.51
