NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 14495
MIN_PRIZE : 4728
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 586 787
2 806 594
3 104 649
4 94 568
5 380 563
6 989 405
7 459 425
8 156 862
9 313 373
10 553 435
11 219 927
12 589 899
13 363 896
14 627 298
15 423 843
16 274 34
17 745 477
18 192 789
19 196 411
20 138 970
21 634 203
22 989 978
23 341 945
24 430 730
25 652 250
26 104 322
27 990 115
28 641 831
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 711 0.32
3 470 0.39
4 646 0.68
5 774 0.35
6 622 0.60
7 710 0.47
8 258 0.83
9 636 0.57
10 465 0.54
11 447 0.58
12 567 0.62
13 580 0.72
14 569 0.31
15 682 0.53
16 422 0.51
17 643 0.61
18 541 0.65
19 238 0.55
20 277 0.50
21 605 0.62
22 286 0.53
23 436 0.32
24 725 0.49
25 596 0.58
26 392 0.95
27 608 0.63
28 589 0.51
