NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 13025
MIN_PRIZE : 4635
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 366 986
2 295 921
3 202 915
4 336 684
5 414 774
6 194 5
7 899 203
8 205 785
9 878 692
10 502 712
11 937 509
12 495 273
13 593 291
14 241 218
15 390 839
16 191 253
17 968 790
18 286 315
19 437 757
20 146 177
21 527 692
22 418 2
23 167 662
24 990 969
25 917 797
26 291 342
27 605 128
28 693 88
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 647 0.73
3 538 0.90
4 489 0.55
5 769 0.43
6 218 0.42
7 452 0.54
8 474 0.65
9 496 0.57
10 705 0.72
11 306 0.37
12 675 0.60
13 632 0.63
14 342 0.84
15 387 0.41
16 316 0.66
17 311 0.97
18 543 0.92
19 212 0.57
20 577 0.34
21 586 0.41
22 466 0.78
23 522 0.81
24 429 0.83
25 702 0.36
26 379 0.31
27 430 0.32
28 422 0.39
