NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 12808
MIN_PRIZE : 4809
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 99 791
2 145 459
3 116 306
4 861 393
5 358 23
6 988 439
7 379 338
8 455 829
9 474 952
10 693 390
11 981 39
12 913 947
13 500 129
14 474 448
15 478 313
16 236 545
17 454 114
18 212 916
19 335 39
20 545 481
21 587 175
22 634 767
23 416 758
24 224 71
25 346 322
26 816 520
27 646 94
28 367 306
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 566 0.39
3 765 0.91
4 521 0.34
5 326 0.47
6 592 0.33
7 331 0.44
8 623 0.50
9 517 0.82
10 317 0.46
11 791 0.80
12 371 0.43
13 696 0.95
14 757 0.62
15 415 0.73
16 315 0.92
17 288 0.86
18 228 0.31
19 419 0.60
20 304 0.55
21 670 0.78
22 342 0.60
23 419 0.40
24 238 0.90
25 363 0.47
26 590 0.35
27 791 0.78
28 253 0.77
