NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 16004
MIN_PRIZE : 6076
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 128 739
2 61 271
3 896 976
4 251 264
5 481 510
6 236 732
7 897 969
8 465 661
9 389 213
10 900 448
11 433 453
12 91 40
13 13 521
14 180 815
15 89 837
16 12 237
17 264 332
18 143 357
19 411 248
20 458 501
21 911 502
22 69 855
23 480 418
24 902 117
25 549 899
26 611 622
27 0 109
28 3 337
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 581 0.73
3 408 0.75
4 616 0.36
5 312 0.46
6 626 0.64
7 522 0.35
8 743 0.34
9 330 0.50
10 399 0.71
11 790 0.44
12 528 0.57
13 730 0.44
14 788 0.99
15 762 0.60
16 759 0.93
17 629 0.63
18 747 0.75
19 597 0.90
20 252 0.47
21 495 0.93
22 666 0.97
23 489 0.58
24 532 0.48
25 669 0.31
26 634 0.39
27 758 0.80
28 642 0.79
