NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 11414
MIN_PRIZE : 4518
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 786 416
2 495 482
3 553 958
4 99 7
5 612 925
6 854 369
7 337 224
8 659 159
9 189 875
10 118 840
11 377 936
12 984 639
13 17 274
14 387 297
15 684 161
16 876 181
17 120 305
18 391 125
19 29 771
20 582 662
21 493 203
22 857 732
23 858 805
24 626 478
25 200 596
26 5 918
27 197 184
28 310 506
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 445 0.43
3 246 0.91
4 342 0.68
5 371 0.80
6 348 0.51
7 519 0.96
8 616 0.51
9 275 0.92
10 240 0.31
11 309 0.49
12 377 0.45
13 783 0.88
14 505 0.57
15 547 0.76
16 338 0.84
17 229 0.93
18 532 0.43
19 383 0.94
20 205 0.45
21 633 0.32
22 308 0.81
23 554 0.81
24 576 0.40
25 420 0.90
26 484 0.49
27 329 0.83
28 500 0.72
